fluorochrome	syn
APC-AlexaFluor680	allophycocyaninafluor680
APC-AlexaFluor680	allophycocyanina680
APC-AlexaFluor680	allophycocyaninalexaf680
APC-AlexaFluor680	allophycocyaninaf680
APC-AlexaFluor700	apcalexafluor700
APC-AlexaFluor700	apcalexa700
APC-AlexaFluor700	apcafluor700
APC-AlexaFluor700	apca700
APC-AlexaFluor700	apcalexaf700
APC-AlexaFluor700	apcaf700
APC-AlexaFluor700	allophycocyaninalexafluor700
APC-AlexaFluor700	allophycocyaninalexa700
APC-AlexaFluor700	allophycocyaninafluor700
APC-AlexaFluor700	allophycocyanina700
APC-AlexaFluor700	allophycocyaninalexaf700
APC-AlexaFluor700	allophycocyaninaf700
APC-AlexaFluor750	apcalexafluor750
APC-AlexaFluor750	apcalexa750
APC-AlexaFluor750	apcafluor750
APC-AlexaFluor750	apca750
APC-AlexaFluor750	apcalexaf750
APC-AlexaFluor750	apcaf750
APC-AlexaFluor750	allophycocyaninalexafluor750
APC-AlexaFluor750	allophycocyaninalexa750
APC-AlexaFluor750	allophycocyaninafluor750
APC-AlexaFluor750	allophycocyanina750
APC-AlexaFluor750	allophycocyaninalexaf750
APC-AlexaFluor750	allophycocyaninaf750
APC-C750	apcc750
APC-C750	allophycocyaninc750
APC-CF750T	apccf750t
APC-CF750T	allophycocyanincf750t
APC-CF770	apccf770
APC-CF770	allophycocyanincf770
APC-CF790T	apccf790t
APC-CF790T	allophycocyanincf790t
APC-Cy5	apccy5
APC-Cy5	apccyanine5
APC-Cy5	allophycocyanincy5
APC-Cy5	allophycocyanincyanine5
APC-Cy5.5	apccy55
APC-Cy5.5	apccyanine55
APC-Cy5.5	allophycocyanincy55
APC-Cy5.5	allophycocyanincyanine55
APC-Cy7	apccy7
APC-Cy7	apccyanine7
APC-Cy7	allophycocyanincy7
APC-Cy7	allophycocyanincyanine7
APC-eFluor780	apcefluor780
APC-eFluor780	apcef780
APC-eFluor780	allophycocyaninefluor780
APC-eFluor780	allophycocyaninef780
APC-FarRed718	apcfarred718
APC-FarRed718	allophycocyaninfarred718
APC-FarRed718	apcfarr718
APC-FarRed718	allophycocyaninfarr718
APC-Fire750	apcfire750
APC-Fire750	apcf750
APC-Fire750	allophycocyaninfire750
APC-Fire750	allophycocyaninf750
APC-Fire810	apcfire810
APC-Fire810	apcf810
APC-Fire810	allophycocyaninfire810
APC-Fire810	allophycocyaninf810
APC-H7	apch7
APC-H7	allophycocyaninh7
APC-R700	apcr700
APC-R700	allophycocyaninr700
APC-Vio770	apcvio770
APC-Vio770	apcv770
APC-Vio770	allophycocyaninvio770
APC-Vio770	allophycocyaninv770
APF	apf
ApotrackerGreen	apotrackergreen
ApotrackerGreen	apotrackerg
ApotrackerGreen	apotgreen
ApotrackerGreen	apotg
APTS	apts
AtlanticBlue	atlanticblue
AtlanticBlue	atlanticb
ATTO390	atto390
ATTO425	atto425
ATTO425Phalloidin	atto425phalloidin
ATTO425Phalloidin	atto425ph
ATTO430LS	atto430ls
ATTO465	atto465
ATTO488	atto488
ATTO490LS	atto490ls
ATTO495	atto495
ATTO514	atto514
ATTO520	atto520
ATTO532	atto532
ATTO532Phalloidin	atto532phalloidin
ATTO532Phalloidin	atto532ph
ATTO542	atto542
ATTO550	atto550
ATTO565	atto565
ATTO590	atto590
ATTO594	atto594
ATTO610	atto610
ATTO620	atto620
ATTO633	atto633
ATTO643	atto643
ATTO647N	atto647n
ATTO655	atto655
ATTO655Phalloidin	atto655phalloidin
ATTO655Phalloidin	atto655ph
ATTO665	atto665
ATTO680	atto680
ATTO700	atto700
ATTO725	atto725
ATTO740	atto740
ATTOOxa12	attooxa12
ATTORHO101	attorho101
ATTORho11	attorho11
ATTORho110	attorho110
ATTORho12	attorho12
ATTORho13	attorho13
ATTORho14	attorho14
ATTORho3B	attorho3b
ATTORho6G	attorho6g
ATTOThio12	attothio12
BactoSpore485_500MembraneStain	bactospore485500membranestain
BactoSpore485_500MembraneStain	bactospore485500membrane
BactoSpore488_540NucleicAcidStain	bactospore488540nucleicacidstain
BactoSpore488_540NucleicAcidStain	bactospore488540nucleicacid
BactoViewDead500_515	bactoviewdead500515
BactoViewDead560_570	bactoviewdead560570
BactoViewDead570_585	bactoviewdead570585
BactoViewDead600_615	bactoviewdead600615
BactoViewDead655_670	bactoviewdead655670
BactoViewDead690_710	bactoviewdead690710
BactoViewDead760_780	bactoviewdead760780
BactoViewLiveGreen	bactoviewlivegreen
BactoViewLiveGreen	bactoviewliveg
BactoViewLiveRed	bactoviewlivered
BactoViewLiveRed	bactoviewliver
BCECF	bcecf
BCECF (525em)pH9	bcecf525emph9
BCECF (Redem)pH5	bcecfredemph5
BCECF (Redem)pH5	bcecfremph5
BCECF@PH5.2	bcecfph52
BCECFAM	bcecfam
BDY630-XSE	bdy630xse
BDY650-XSE	bdy650xse
BDYFL-XSE	bdyflxse
BDYFLSE	bdyflse
BDYFLStaurosporine	bdyflstaurosporine
BDYFLVH032	bdyflvh032
BDYLenalidomide	bdylenalidomide
BDYTMR-XSE	bdytmrxse
BDYTR-XSE	bdytrxse
BFP	bfp
BFP	bluefluorescentprotein
BFP	bfluorescentprotein
BOBO-1	bobo1
BOBO-3	bobo3
BODIPY493_503	bodipy493503
BODIPY558_568	bodipy558568
BODIPY_500_510	bodipy500510
BODIPY_581_591	bodipy581591
BODIPY_630_650	bodipy630650
BODIPY_650_665	bodipy650665
BODIPY_FL	bodipyfl
BODIPY_R6G	bodipyr6g
BODIPY_TMR	bodipytmr
BODIPY_TR	bodipytr
BOP-JF549	bopjf549
BOP-JF646	bopjf646
BPE	bpe
BrilliantBlue515	brilliantblue515
BrilliantBlue515	bblue515
BrilliantBlue515	brilliantb515
BrilliantBlue515	bb515
BrilliantBlue630-P2	brilliantblue630p2
BrilliantBlue630-P2	bblue630p2
BrilliantBlue630-P2	brilliantblue630
BrilliantBlue630-P2	bblue630
BrilliantBlue630-P2	brilliantb630p2
BrilliantBlue630-P2	bb630p2
BrilliantBlue630-P2	brilliantb630
BrilliantBlue630-P2	bb630
BrilliantBlue660-P2	brilliantblue660p2
BrilliantBlue660-P2	bblue660p2
BrilliantBlue660-P2	brilliantblue660
BrilliantBlue660-P2	bblue660
BrilliantBlue660-P2	brilliantb660p2
BrilliantBlue660-P2	bb660p2
BrilliantBlue660-P2	brilliantb660
BrilliantBlue660-P2	bb660
BrilliantBlue700	brilliantblue700
BrilliantBlue700	bblue700
BrilliantBlue700	brilliantb700
BrilliantBlue700	bb700
BrilliantBlue755-P	brilliantblue755p
BrilliantBlue755-P	bblue755p
BrilliantBlue755-P	brilliantblue755
BrilliantBlue755-P	bblue755
BrilliantBlue755-P	brilliantb755p
BrilliantBlue755-P	bb755p
BrilliantBlue755-P	brilliantb755
BrilliantBlue755-P	bb755
BrilliantBlue790-P	brilliantblue790p
BrilliantBlue790-P	bblue790p
BrilliantBlue790-P	brilliantblue790
BrilliantBlue790-P	bblue790
BrilliantBlue790-P	brilliantb790p
BrilliantBlue790-P	bb790p
BrilliantBlue790-P	brilliantb790
BrilliantBlue790-P	bb790
BrilliantUltraviolet395	brilliantultraviolet395
BrilliantUltraviolet395	bultraviolet395
BrilliantUltraviolet395	brilliantultravlet395
BrilliantUltraviolet395	bultravlet395
BrilliantUltraviolet395	brilliantuv395
BrilliantUltraviolet395	buv395
BrilliantUltraviolet395	brilliantultrav395
BrilliantUltraviolet395	bultrav395
BrilliantUltraviolet496	brilliantultraviolet496
BrilliantUltraviolet496	bultraviolet496
BrilliantUltraviolet496	brilliantultravlet496
BrilliantUltraviolet496	bultravlet496
BrilliantUltraviolet496	brilliantuv496
BrilliantUltraviolet496	buv496
BrilliantUltraviolet496	brilliantultrav496
BrilliantUltraviolet496	bultrav496
BrilliantUltraviolet563	brilliantultraviolet563
BrilliantUltraviolet563	bultraviolet563
BrilliantUltraviolet563	brilliantultravlet563
BrilliantUltraviolet563	bultravlet563
BrilliantUltraviolet563	brilliantuv563
BrilliantUltraviolet563	buv563
BrilliantUltraviolet563	brilliantultrav563
BrilliantUltraviolet563	bultrav563
BrilliantUltraviolet615	brilliantultraviolet615
BrilliantUltraviolet615	bultraviolet615
