fluorochrome	type	nm	norm_intensity	source	num
AlexaFluor594	ex	590	100	bl	2
AlexaFluor594	em	619	100	th	1
AlexaFluor594	ex	377	12	th	1
AlexaFluor594	ex	590	100	th	2
AlexaFluor610	em	630	100	th	1
AlexaFluor610	ex	565	34	th	1
AlexaFluor610	ex	611	100	th	2
AlexaFluor633	em	650	100	th	1
AlexaFluor633	em	708	29	th	2
AlexaFluor633	ex	581	36	th	1
AlexaFluor633	ex	632	100	th	2
AlexaFluor635	em	647	100	th	1
AlexaFluor635	ex	585	36	th	1
AlexaFluor635	ex	633	100	th	2
AlexaFluor647	em	670	100	bd	1
AlexaFluor647	ex	612	39	bd	1
AlexaFluor647	ex	652	100	bd	2
AlexaFluor647	em	671	100	bl	1
AlexaFluor647	ex	650	100	bl	1
AlexaFluor647	em	671	100	th	1
AlexaFluor647	ex	650	100	th	1
AlexaFluor647-PE	em	667	100	th	1
AlexaFluor647-PE	ex	306	11	th	1
AlexaFluor647-PE	ex	497	68	th	2
AlexaFluor647-PE	ex	568	100	th	3
AlexaFluor647-PE	ex	613	27	th	4
AlexaFluor647-PE	ex	654	54	th	5
AlexaFluor660	em	691	100	bd	1
AlexaFluor660	ex	334	12	bd	1
AlexaFluor660	ex	663	100	bd	2
AlexaFluor660	em	689	100	bl	1
AlexaFluor660	ex	616	58	bl	1
AlexaFluor660	ex	663	99	bl	2
AlexaFluor660	em	691	100	th	1
AlexaFluor660	ex	334	12	th	1
AlexaFluor660	ex	663	100	th	2
AlexaFluor680	em	704	100	th	1
AlexaFluor680	ex	680	100	th	1
AlexaFluor680-APC	em	703	100	th	1
AlexaFluor680-APC	ex	344	21	th	1
AlexaFluor680-APC	ex	655	100	th	2
AlexaFluor700	em	719	100	bd	1
AlexaFluor700	ex	696	100	bd	1
AlexaFluor700	em	719	100	bl	1
AlexaFluor700	ex	696	100	bl	1
AlexaFluor700	em	719	100	th	1
AlexaFluor700	ex	696	100	th	1
AlexaFluor750	em	776	100	th	1
AlexaFluor750	ex	752	100	th	1
AlexaFluor790	em	805	100	th	1
AlexaFluor790	ex	782	100	th	1
AlexaFluorPlus405	em	455	100	th	1
AlexaFluorPlus405	ex	404	100	th	1
AlexaFluorPlus488	em	518	100	th	1
AlexaFluorPlus488	ex	314	23	th	1
AlexaFluorPlus488	ex	493	100	th	2
AlexaFluorPlus555	em	572	100	th	1
AlexaFluorPlus555	ex	558	100	th	1
AlexaFluorPlus594	em	619	100	th	1
AlexaFluorPlus594	ex	377	12	th	1
AlexaFluorPlus594	ex	590	100	th	2
AlexaFluorPlus647	em	674	100	th	1
AlexaFluorPlus647	ex	658	100	th	1
AlexaFluorPlus680	em	704	100	th	1
AlexaFluorPlus680	ex	688	100	th	1
AlexaFluorPlus750	em	788	100	th	1
AlexaFluorPlus750	ex	758	100	th	1
AlexaFluorPlus800	em	794	100	th	1
