fluorochrome	flow_cytometry	DNA_dye	Ab_conjugate	fluorescent_protein	amine_dye
SparkPlusUV395	1	0	1	0	
SparkRed718	1	0	1	0	
SparkUV387	1	0	1	0	
SparkViolet423	1	0	1	0	
SparkViolet500	1	0	1	0	
SparkViolet538	1	0	1	0	
SparkYG570	1	0	1	0	
SparkYG581	1	0	1	0	
SparkYG593	1	0	1	0	
StarBrightBlue700	1	0	1	0	
StarBrightUV575	1	0	1	0	
StarBrightUV740	1	0	1	0	
StarBrightUV795	1	0	1	0	
StarBrightViolet440	1	0	1	0	
StarBrightViolet515	1	0	1	0	
StarBrightViolet610	1	0	1	0	
StarBrightViolet670	1	0	1	0	
Sulforhodamine101	0	0	0	0	
SuperBright436	1	0	1	0	
SuperBright600	1	0	1	0	
SuperBright645	1	0	1	0	
SuperBright702	1	0	1	0	
SuperBright780	1	0	1	0	
SYBR14	0	1	0	0	
SYBRGold	0	1	0	0	
SYBRGreen	0	1	0	0	
SYBRSafe	0	1	0	0	
SYPROOrangeProteinGelStain	0	0	0	0	
SYPRORubyProteinGelStain	0	0	0	0	
SYTO11	1	1	0	0	
SYTO13	1	1	0	0	
SYTO14	1	1	0	0	
SYTO16	1	1	0	0	
SYTO17	1	1	0	0	
SYTO40	1	1	0	0	
SYTO41	1	1	0	0	
SYTO42	1	1	0	0	
SYTO43	1	1	0	0	
SYTO44	1	1	0	0	
SYTO45	1	1	0	0	
SYTO59	1	1	0	0	
SYTO60	1	1	0	0	
SYTO61	1	1	0	0	
SYTO62	1	1	0	0	
SYTO80	1	1	0	0	
SYTO81	1	1	0	0	
SYTO82	1	1	0	0	
SYTO83	1	1	0	0	
SYTO84	1	1	0	0	
SYTO85	1	1	0	0	
SYTO9	1	1	0	0	
SYTOXAADvanced	1	1	0	0	
SYTOXBlue	1	1	0	0	
SYTOXDeepRed	1	1	0	0	
SYTOXGreen	1	1	0	0	
SYTOXOrange	1	1	0	0	
SYTOXRed	1	1	0	0	
Tag-itViolet	1	1	0	0	
TAMRA TRITC	1	0	0	0	
tdTomato	1	0	0	1	
TetraSpeckBlue	0	0	0	0	
TetraSpeckOrange	0	0	0	0	
TexasRed	1	0	0	0	
